연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,1분기,23141,4263,32393,8400,8960,14909,5138,127.0352147,37.5135491,"37.5135491, 127.0352147"
2020,2분기,23141,4045,30356,7778,8992,13708,5031,127.0352147,37.5135491,"37.5135491, 127.0352147"
2020,3분기,23141,4563,32838,8371,9505,14879,5198,127.0352147,37.5135491,"37.5135491, 127.0352147"
2020,4분기,23141,4123,30110,7936,9285,13502,4936,127.0352147,37.5135491,"37.5135491, 127.0352147"
2020,1분기,23142,2699,18359,5868,6869,12242,3175,127.0361459,37.51093155,"37.51093155, 127.0361459"
2020,2분기,23142,2628,17709,5765,6918,11794,3405,127.0361459,37.51093155,"37.51093155, 127.0361459"
2020,3분기,23142,2560,18746,6283,7363,12882,3700,127.0361459,37.51093155,"37.51093155, 127.0361459"
2020,4분기,23142,2701,17072,6012,7633,11924,3719,127.0361459,37.51093155,"37.51093155, 127.0361459"
2020,1분기,23143,632,4053,1706,2081,4280,1250,127.0376947,37.5085038,"37.5085038, 127.0376947"
2020,2분기,23143,386,3811,1692,2169,3740,1369,127.0376947,37.5085038,"37.5085038, 127.0376947"
2020,3분기,23143,296,4238,1858,2436,3881,1352,127.0376947,37.5085038,"37.5085038, 127.0376947"
2020,4분기,23143,290,3854,1585,2116,3248,1229,127.0376947,37.5085038,"37.5085038, 127.0376947"
2020,1분기,23144,613,2971,2053,2663,4633,1642,127.0347231,37.50761522,"37.50761522, 127.0347231"
2020,2분기,23144,454,2824,2071,2889,4336,1473,127.0347231,37.50761522,"37.50761522, 127.0347231"
2020,3분기,23144,515,3066,2053,2975,4521,1491,127.0347231,37.50761522,"37.50761522, 127.0347231"
2020,4분기,23144,505,2608,1953,2454,3482,1177,127.0347231,37.50761522,"37.50761522, 127.0347231"
2020,1분기,23145,1492,41722,13726,15271,30967,11269,127.033376,37.50844,"37.50844, 127.033376"
2020,2분기,23145,1256,41676,13194,15418,29128,10489,127.033376,37.50844,"37.50844, 127.033376"
2020,3분기,23145,1247,44836,13781,15334,29906,10490,127.033376,37.50844,"37.50844, 127.033376"
2020,4분기,23145,1270,42041,13410,14511,28304,9880,127.033376,37.50844,"37.50844, 127.033376"
2020,1분기,23146,2201,30107,10981,13125,28902,9633,127.031989,37.5114112,"37.5114112, 127.031989"
2020,2분기,23146,1618,29255,10476,13266,27107,8021,127.031989,37.5114112,"37.5114112, 127.031989"
2020,3분기,23146,1626,31728,10951,13431,27628,7947,127.031989,37.5114112,"37.5114112, 127.031989"
2020,4분기,23146,1611,29446,10592,12441,25966,7497,127.031989,37.5114112,"37.5114112, 127.031989"
2020,1분기,23147,377,4667,3137,4723,7749,2974,127.034811,37.51529721,"37.51529721, 127.034811"
2020,2분기,23147,478,4423,3207,4660,7258,2764,127.034811,37.51529721,"37.51529721, 127.034811"
2020,3분기,23147,529,4527,3142,4886,7530,2705,127.034811,37.51529721,"37.51529721, 127.034811"
2020,4분기,23147,446,3978,2708,4322,6108,2420,127.034811,37.51529721,"37.51529721, 127.034811"
2020,1분기,23148,13368,79063,53647,64079,109433,34685,127.0305769,37.52844434,"37.52844434, 127.0305769"
2020,2분기,23148,13548,76090,52606,66468,108238,35913,127.0305769,37.52844434,"37.52844434, 127.0305769"
2020,3분기,23148,13648,77720,53419,69396,108905,35946,127.0305769,37.52844434,"37.52844434, 127.0305769"
2020,4분기,23148,12653,74061,51142,67754,99466,31805,127.0305769,37.52844434,"37.52844434, 127.0305769"
2020,1분기,23149,15049,138674,64038,72519,105156,41029,127.0310097,37.52847448,"37.52847448, 127.0310097"
2020,2분기,23149,16505,138819,62357,75632,103801,40415,127.0310097,37.52847448,"37.52847448, 127.0310097"
