STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO
2020,1,A,골목상권,2110080,해방촌예술마을,277.0,160.0,117.0,0.0,44.0,58.0,84.0,54.0,37.0,0.0,16.0,38.0,52.0,30.0,24.0,0.0,28.0,20.0,32.0,24.0,13.0
2020,1,A,골목상권,2110081,해방촌 남동측,291.0,170.0,121.0,0.0,46.0,68.0,58.0,64.0,55.0,0.0,14.0,37.0,30.0,41.0,48.0,0.0,32.0,31.0,28.0,23.0,7.0
2020,1,A,골목상권,2110082,용산구청,1571.0,779.0,792.0,2.0,165.0,447.0,417.0,439.0,101.0,2.0,45.0,147.0,200.0,302.0,83.0,0.0,120.0,300.0,217.0,137.0,18.0
2020,1,A,골목상권,2110083,서빙고역 1번,149.0,109.0,40.0,0.0,26.0,53.0,42.0,14.0,14.0,0.0,13.0,42.0,29.0,12.0,13.0,0.0,13.0,11.0,13.0,2.0,1.0
2020,1,A,골목상권,2110084,경리단길북측,315.0,168.0,147.0,0.0,47.0,85.0,84.0,57.0,42.0,0.0,23.0,36.0,39.0,36.0,34.0,0.0,24.0,49.0,45.0,21.0,8.0
2020,1,A,골목상권,2110085,경리단길남측,532.0,260.0,272.0,4.0,98.0,163.0,148.0,67.0,52.0,2.0,40.0,59.0,78.0,41.0,40.0,2.0,58.0,104.0,70.0,26.0,12.0
2020,1,A,골목상권,2110086,이태원역 북측,9251.0,3612.0,5639.0,12.0,3187.0,3893.0,1655.0,431.0,73.0,3.0,733.0,1559.0,905.0,357.0,55.0,9.0,2454.0,2334.0,750.0,74.0,18.0
2020,1,A,골목상권,2110087,이태원엔틱가구거리,463.0,213.0,250.0,0.0,185.0,174.0,58.0,31.0,15.0,0.0,54.0,89.0,43.0,17.0,10.0,0.0,131.0,85.0,15.0,14.0,5.0
2020,1,A,골목상권,2110088,오산고등학교,1696.0,1140.0,556.0,16.0,439.0,504.0,454.0,203.0,80.0,7.0,263.0,350.0,312.0,150.0,58.0,9.0,176.0,154.0,142.0,53.0,22.0
2020,1,A,골목상권,2110089,서빙고동주민센터,752.0,503.0,249.0,1.0,94.0,230.0,220.0,107.0,100.0,0.0,33.0,136.0,159.0,88.0,87.0,1.0,61.0,94.0,61.0,19.0,13.0
2020,1,A,골목상권,2110090,한국폴리텍대학서울정수캠퍼스,3968.0,2447.0,1521.0,1.0,446.0,1358.0,1632.0,500.0,31.0,1.0,173.0,548.0,1231.0,467.0,27.0,0.0,273.0,810.0,401.0,33.0,4.0
2020,1,A,골목상권,2110091,리움미술관,1106.0,810.0,296.0,0.0,216.0,345.0,343.0,155.0,47.0,0.0,117.0,236.0,293.0,128.0,36.0,0.0,99.0,109.0,50.0,27.0,11.0
2020,1,A,골목상권,2110092,NH농협은행 보광동지점,514.0,208.0,306.0,0.0,94.0,123.0,111.0,107.0,79.0,0.0,14.0,58.0,40.0,45.0,51.0,0.0,80.0,65.0,71.0,62.0,28.0
2020,1,A,골목상권,2110093,우사단길,2482.0,1548.0,934.0,2.0,325.0,1015.0,734.0,327.0,79.0,1.0,101.0,529.0,548.0,305.0,64.0,1.0,224.0,486.0,186.0,22.0,15.0
2020,1,A,골목상권,2110094,오산중학교,26.0,12.0,14.0,0.0,0.0,1.0,4.0,13.0,8.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,1.0,2.0,7.0,4.0
