매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
60029.20476,2020,발달상권,2120206,개나리아파트,1,2,30,4051,2075,5280,50,10,243,135,64,42,55,282,1373583,301292,209668,209978,211109,210906,205006,165349,161566,45,2,4,0,5,148412,207823,220629,290409,276728,171145,206850,5516,0,8,0
106277.5524,2020,발달상권,2120207,선정릉역,1,2,45,6835,3858,12151,179,49,777,501,246,96,53,440,1820246,384713,274077,275154,279009,279231,273997,224875,213903,83,5,5,0,3,323475,228366,327720,434367,363813,199070,266911,13744,12606,11,1
115948.6344,2020,발달상권,2120208,청담사거리(청담동명품거리),1,2,41,3296,1887,10577,46,0,58,138,241,64,31,204,1630866,293925,232313,245175,247482,247845,249440,220343,188268,148,3,9,0,7,331336,158147,315280,380467,302314,208869,265787,40793,0,8,0
81229.42618,2020,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",1,2,23,1348,629,8984,19,21,30,31,11,43,62,170,611533,103884,91368,92639,94245,92879,92743,77604,70054,79,2,4,0,0,134148,97393,82167,113404,120326,79843,118397,3638,0,3,0
122059.3971,2020,발달상권,2120210,선릉역,1,2,93,4534,3089,48780,93,30,745,692,112,101,5,141,5127886,760835,817014,817034,822203,823652,802679,562968,482337,181,1,13,0,15,360433,546380,943334,1244967,1020853,678107,694242,54291,43668,6,1
102914.3565,2020,발달상권,2120211,도성초등학교,1,2,9,1620,699,984,22,3,68,51,66,38,22,74,820824,107991,116011,118421,119532,119124,119187,120130,108416,31,0,1,0,4,72437,227644,106454,117796,161988,97383,109560,2950,0,4,0
37913.14076,2020,발달상권,2120212,한티역,1,2,21,1554,713,713,20,0,54,53,47,14,52,59,1182113,198787,162493,164802,166848,166057,168556,182920,170437,75,1,7,1,6,112734,387467,121799,123808,245747,150650,152641,10451,9187,4,1
89896.67567,2020,발달상권,2120213,삼성중앙역,1,2,35,4240,2354,8472,85,29,481,195,75,38,32,266,1675888,321768,260275,261116,261984,261851,256091,193927,180646,51,2,2,0,11,228925,149450,295789,422055,365004,205330,238262,2973,3282,3,1
105833.0949,2020,발달상권,2120214,영동대교남단교차로,1,2,19,744,303,3990,7,0,0,16,0,0,0,200,277099,35122,42689,43155,43376,43710,43591,33214,27366,21,0,2,0,1,89135,27412,40676,62668,53501,42012,50830,6926,0,1,0
62861.40644,2020,발달상권,2120215,포스코사거리,1,2,71,3112,1894,61656,26,0,291,474,131,195,12,273,3100750,467857,508568,508675,507911,510282,489607,302069,273641,138,1,21,0,17,318625,314682,572544,817525,696490,376358,323154,36985,0,7,0
33701.59341,2020,발달상권,2120216,경기고교사거리(경기고교앞사거리),1,2,15,227,152,4934,1,0,0,0,0,0,0,12,197313,18577,30433,30658,30927,31099,30938,23742,19515,31,0,3,0,1,71694,20772,28167,42285,37216,29153,39719,37307,0,6,0
